Time,Constraint,Lambda,Sim
702000,0___l,0.0,run_4_toynet
703000,0___l,0.0,run_4_toynet
704000,0___l,0.0,run_4_toynet
705000,0___l,0.0,run_4_toynet
706000,0___l,0.0,run_4_toynet
707000,0___l,0.0,run_4_toynet
708000,0___l,0.0,run_4_toynet
709000,0___l,0.0,run_4_toynet
710000,0___l,0.0,run_4_toynet
711000,0___l,0.0,run_4_toynet
712000,0___l,0.0,run_4_toynet
713000,0___l,0.0,run_4_toynet
714000,0___l,0.0,run_4_toynet
715000,0___l,0.0,run_4_toynet
716000,0___l,0.0,run_4_toynet
717000,0___l,0.0,run_4_toynet
718000,0___l,0.0,run_4_toynet
719000,0___l,0.0,run_4_toynet
720000,0___l,0.0,run_4_toynet
721000,0___l,0.0,run_4_toynet
722000,0___l,0.0,run_4_toynet
723000,0___l,0.0,run_4_toynet
724000,0___l,0.0,run_4_toynet
725000,0___l,0.0,run_4_toynet
726000,0___l,0.0,run_4_toynet
727000,0___l,0.0,run_4_toynet
728000,0___l,0.0,run_4_toynet
729000,0___l,0.0,run_4_toynet
730000,0___l,0.0,run_4_toynet
